subtype,x,y,direction,is_directed,info
her2,casp8,rad51,undirected,NA,27.348772
her2,jak1,ncor2,undirected,NA,27.317847
her2,ccnd1,jag1,undirected,NA,27.285732
her2,casp9,map2k1,undirected,NA,27.234112
her2,fam20c,mmp11,undirected,NA,27.146421
her2,cbfb,myc,undirected,NA,27.12858
her2,erbb4,jak1,undirected,NA,27.111268
her2,cdk6,hsd17b2,undirected,NA,27.098995
her2,mmp11,ptprd,undirected,NA,27.093261
her2,gata3,map3k5,map3k5 -> gata3 (weak),TRUE,27.065702
her2,acvr2b,casp9,undirected,NA,26.906618
her2,col12a1,jak1,undirected,NA,26.774461
her2,col12a1,mmp1,undirected,FALSE,26.439168
her2,cdkn1b,ubr5,undirected,FALSE,26.297447
her2,jak1,ncstn,undirected,NA,26.257986
her2,cdkn1b,pms2,undirected,NA,26.03584
her2,arid5b,ccnd1,undirected,NA,25.990263
her2,jak1,mmp7,undirected,NA,25.974606
her2,chd1,jak1,undirected,NA,25.874321
her2,cdk6,mapk9,undirected,NA,25.84434
her2,ccnd2,cdk6,undirected,FALSE,25.627454
her2,cdkn1b,igf1,undirected,NA,25.116035
her2,akr1c4,gata3,undirected,NA,25.073023
her2,map2k4,tp53,undirected,FALSE,25.019334
her2,adam17,ccnd1,undirected,NA,25.009246
her2,jak1,ptprm,undirected,NA,24.942032
her2,casp9,fbxw7,casp9 -> fbxw7,TRUE,24.656805
her2,adam17,casp8,undirected,NA,24.638531
her2,cdk6,stat3,undirected,NA,24.608381
her2,cdk6,mapk6,undirected,NA,24.577696
her2,cdk6,hsd17b6,undirected,NA,24.503813
her2,cdk6,fn1,undirected,NA,24.412489
her2,akt1s1,casp8,undirected,NA,24.365885
her2,itgav,myc,undirected,NA,24.335255
her2,fn1,jak1,undirected,NA,24.324042
her2,casp8,mapk9,undirected,NA,24.201574
her2,ccnd1,cdk6,undirected,NA,24.184917
her2,jak1,map2k2,undirected,NA,24.172945
her2,casp8,fn1,undirected,NA,24.138131
her2,jak1,shank2,shank2 -> jak1,TRUE,24.098426
